Company,Symbol,Ticker,Industry,Entry date,YahooSymbol
Adani Ports & SEZ,ADANIPORTS.BO,532921,Ports,24 June 2024[2],532921.BO
Asian Paints,ASIANPAINT.BO,500820,Consumer Durables,21 December 2015[3],500820.BO
Axis Bank,AXISBANK.BO,532215,Banks,23 December 2013[4],532215.BO
Bajaj Finance,BAJFINANCE.BO,500034,Finance,24 December 2018[5],500034.BO
Bajaj Finserv,BAJAJFINSV.BO,532978,Finance,22 June 2020[6],532978.BO
Bharat Electronics,BEL.BO,500049,Aerospace & Defence,23 June 2025[7],500049.BO
Bharti Airtel,BHARTIARTL.BO,532454,Telecommunication,10 November 2003[8],532454.BO
Eternal,ETERNAL.BO,543320,Retailing,23 December 2024[9],543320.BO
HCLTech,HCLTECH.BO,532281,IT,24 December 2018[5],532281.BO
HDFC Bank,HDFCBANK.BO,500180,Banks,10 November 2003[8],500180.BO
Hindustan Unilever,HINDUNILVR.BO,500696,FMCG,2 January 1986[10],500696.BO
ICICI Bank,ICICIBANK.BO,532174,Banks,31 May 2002[8],532174.BO
Infosys,INFY.BO,500209,IT,16 November 1998[8],500209.BO
ITC,ITC.BO,500875,FMCG,2 January 1986[10],500875.BO
Kotak Mahindra Bank,KOTAKBANK.BO,500247,Banks,19 June 2017[11],500247.BO
Larsen & Toubro,LT.BO,500510,Construction,27 September 2004[8],500510.BO
Mahindra & Mahindra,M&M.BO,500520,Automobiles,9 July 2007[8],500520.BO
Maruti Suzuki,MARUTI.BO,532500,Automobiles,19 May 2004[8],532500.BO
NTPC,NTPC.BO,532555,Power,6 June 2005[8],532555.BO
Power Grid,POWERGRID.BO,532898,Power,20 June 2016[12],532898.BO
Reliance Industries,RELIANCE.BO,500325,Petroleum,2 January 1986[10],500325.BO
State Bank of India,SBIN.BO,500112,Banks,19 August 1996[8],500112.BO
Sun Pharma,SUNPHARMA.BO,524715,Pharmaceuticals,8 August 2011[13],524715.BO
Tata Consultancy Services,TCS.BO,532540,IT,6 June 2005[8],532540.BO
Tata Motors,TATAMOTORS.BO,500570,Automobiles,19 December 2022[14],500570.BO
Tata Steel,TATASTEEL.BO,500470,Metals,21 June 2021[15],500470.BO
Tech Mahindra,TECHM.BO,532755,IT,24 June 2019[16],532755.BO
Titan Company,TITAN.BO,500114,Consumer Durables,23 December 2019[17],500114.BO
Trent,TRENT.BO,500251,Retailing,23 June 2025[7],500251.BO
UltraTech Cement,ULTRACEMCO.BO,532538,Cement,23 December 2019[17],532538.BO
